,RunId,iteration,Step,number_agents,width,height,toroidal,seed,Cohesion
0,0,0,0,100,256,256,True,0,13.863434343434344
1,0,0,1,100,256,256,True,0,13.850909090909092
2,0,0,2,100,256,256,True,0,13.528080808080809
3,0,0,3,100,256,256,True,0,12.976565656565656
4,0,0,4,100,256,256,True,0,12.458585858585858
5,0,0,5,100,256,256,True,0,11.902828282828283
6,0,0,6,100,256,256,True,0,11.396767676767677
7,0,0,7,100,256,256,True,0,10.898181818181818
8,0,0,8,100,256,256,True,0,10.46020202020202
9,0,0,9,100,256,256,True,0,10.033333333333333
10,0,0,10,100,256,256,True,0,9.793333333333333
11,0,0,11,100,256,256,True,0,9.657979797979799
12,0,0,12,100,256,256,True,0,9.375757575757575
13,0,0,13,100,256,256,True,0,9.265454545454546
14,0,0,14,100,256,256,True,0,9.642222222222221
15,0,0,15,100,256,256,True,0,10.247676767676767
16,0,0,16,100,256,256,True,0,11.092323232323233
17,0,0,17,100,256,256,True,0,12.19111111111111
18,0,0,18,100,256,256,True,0,13.657979797979799
19,0,0,19,100,256,256,True,0,15.303030303030303
20,0,0,20,100,256,256,True,0,16.762424242424242
21,0,0,21,100,256,256,True,0,17.80808080808081
22,0,0,22,100,256,256,True,0,18.852929292929293
23,0,0,23,100,256,256,True,0,19.775959595959595
24,0,0,24,100,256,256,True,0,20.413131313131313
25,0,0,25,100,256,256,True,0,20.992323232323233
26,0,0,26,100,256,256,True,0,20.88141414141414
27,0,0,27,100,256,256,True,0,20.345050505050505
28,0,0,28,100,256,256,True,0,19.543838383838384
29,0,0,29,100,256,256,True,0,18.6989898989899
30,0,0,30,100,256,256,True,0,17.896767676767677
31,0,0,31,100,256,256,True,0,17.01818181818182
32,0,0,32,100,256,256,True,0,16.278787878787877
33,0,0,33,100,256,256,True,0,15.50949494949495
34,0,0,34,100,256,256,True,0,14.845858585858586
35,0,0,35,100,256,256,True,0,14.246262626262626
36,0,0,36,100,256,256,True,0,13.696565656565657
37,0,0,37,100,256,256,True,0,13.192121212121211
38,0,0,38,100,256,256,True,0,12.572121212121212
39,0,0,39,100,256,256,True,0,12.057171717171718
40,0,0,40,100,256,256,True,0,11.54989898989899
41,0,0,41,100,256,256,True,0,11.132727272727273
42,0,0,42,100,256,256,True,0,10.892929292929294
43,0,0,43,100,256,256,True,0,10.602828282828282
44,0,0,44,100,256,256,True,0,10.433131313131312
45,0,0,45,100,256,256,True,0,10.29979797979798
46,0,0,46,100,256,256,True,0,10.122222222222222
47,0,0,47,100,256,256,True,0,9.986666666666666
48,0,0,48,100,256,256,True,0,9.961010101010102
49,0,0,49,100,256,256,True,0,9.996767676767677
50,0,0,50,100,256,256,True,0,10.128080808080808
51,0,0,51,100,256,256,True,0,10.224848484848485
52,0,0,52,100,256,256,True,0,10.294343434343434
53,0,0,53,100,256,256,True,0,10.455959595959596
54,0,0,54,100,256,256,True,0,10.568080808080808
55,0,0,55,100,256,256,True,0,10.604242424242424
56,0,0,56,100,256,256,True,0,10.51010101010101
57,0,0,57,100,256,256,True,0,10.37858585858586
58,0,0,58,100,256,256,True,0,10.305252525252525
59,0,0,59,100,256,256,True,0,10.16161616161616
60,0,0,60,100,256,256,True,0,10.104040404040404
61,0,0,61,100,256,256,True,0,10.037373737373738
62,0,0,62,100,256,256,True,0,9.87858585858586
63,0,0,63,100,256,256,True,0,9.714545454545455
64,0,0,64,100,256,256,True,0,9.60020202020202
65,0,0,65,100,256,256,True,0,9.647272727272727
66,0,0,66,100,256,256,True,0,9.594343434343434
67,0,0,67,100,256,256,True,0,9.514747474747475
68,0,0,68,100,256,256,True,0,9.514747474747475
69,0,0,69,100,256,256,True,0,9.435757575757576
70,0,0,70,100,256,256,True,0,9.372323232323232
71,0,0,71,100,256,256,True,0,9.313131313131313
72,0,0,72,100,256,256,True,0,9.417777777777777
73,0,0,73,100,256,256,True,0,9.557373737373737
74,0,0,74,100,256,256,True,0,9.562222222222223
75,0,0,75,100,256,256,True,0,9.566060606060606
76,0,0,76,100,256,256,True,0,9.628686868686868
77,0,0,77,100,256,256,True,0,9.620606060606061
78,0,0,78,100,256,256,True,0,9.636363636363637
79,0,0,79,100,256,256,True,0,9.646464646464647
80,0,0,80,100,256,256,True,0,9.564646464646465
81,0,0,81,100,256,256,True,0,9.616565656565657
82,0,0,82,100,256,256,True,0,9.513939393939394
83,0,0,83,100,256,256,True,0,9.396161616161617
84,0,0,84,100,256,256,True,0,9.386262626262626
85,0,0,85,100,256,256,True,0,9.452121212121211
86,0,0,86,100,256,256,True,0,9.538181818181819
87,0,0,87,100,256,256,True,0,9.624848484848485
88,0,0,88,100,256,256,True,0,9.618989898989899
89,0,0,89,100,256,256,True,0,9.593939393939394
90,0,0,90,100,256,256,True,0,9.713737373737374
91,0,0,91,100,256,256,True,0,9.750505050505051
92,0,0,92,100,256,256,True,0,10.057575757575757
93,0,0,93,100,256,256,True,0,10.201818181818181
94,0,0,94,100,256,256,True,0,10.252727272727272
95,0,0,95,100,256,256,True,0,10.304646464646465
96,0,0,96,100,256,256,True,0,10.38989898989899
97,0,0,97,100,256,256,True,0,10.493535353535353
98,0,0,98,100,256,256,True,0,10.546868686868686
99,0,0,99,100,256,256,True,0,10.691313131313132
100,0,0,100,100,256,256,True,0,10.81030303030303
101,0,0,101,100,256,256,True,0,10.850909090909092
102,0,0,102,100,256,256,True,0,10.934949494949494
103,0,0,103,100,256,256,True,0,10.952727272727273
104,0,0,104,100,256,256,True,0,10.983232323232324
105,0,0,105,100,256,256,True,0,10.9
106,0,0,106,100,256,256,True,0,10.935959595959597
107,0,0,107,100,256,256,True,0,10.878989898989898
108,0,0,108,100,256,256,True,0,10.900404040404041
109,0,0,109,100,256,256,True,0,10.897575757575758
110,0,0,110,100,256,256,True,0,10.764848484848486
111,0,0,111,100,256,256,True,0,10.697171717171717
112,0,0,112,100,256,256,True,0,10.664646464646465
113,0,0,113,100,256,256,True,0,10.431919191919192
114,0,0,114,100,256,256,True,0,10.465050505050504
115,0,0,115,100,256,256,True,0,10.422424242424242
116,0,0,116,100,256,256,True,0,10.44080808080808
117,0,0,117,100,256,256,True,0,10.667070707070707
118,0,0,118,100,256,256,True,0,11.007070707070707
119,0,0,119,100,256,256,True,0,11.297373737373738
120,0,0,120,100,256,256,True,0,11.528888888888888
121,0,0,121,100,256,256,True,0,11.635757575757577
122,0,0,122,100,256,256,True,0,11.818181818181818
123,0,0,123,100,256,256,True,0,12.056161616161615
124,0,0,124,100,256,256,True,0,12.353939393939394
125,0,0,125,100,256,256,True,0,12.476969696969697
126,0,0,126,100,256,256,True,0,12.618383838383838
127,0,0,127,100,256,256,True,0,12.748484848484848
